Tên truyện có cả tập (Nếu không nó từ ghi lại y tên đầu tiên) | CXXX (ví dụ tập 1 là 001 nếu không có tập thì 000) | Mã truyện | Số lượng hiện tại | Số lượng nhập vào
Doraemon - Tập 2 | C002 | T001 | 24 | 25
Doraemon - Tập 3 | C003 | T001 | 25 | 25
Doraemon - Tập 4 | C004 | T001 | 25 | 25
Doraemon - Tập 5 | C005 | T001 | 25 | 25
Doraemon - Tập 6 | C006 | T001 | 25 | 25
Doraemon - Tập 7 | C007 | T001 | 25 | 25
Doraemon - Tập 8 | C008 | T001 | 25 | 25
Doraemon - Tập 9 | C009 | T001 | 25 | 25
Doraemon - Tập 10 | C010 | T001 | 25 | 25
Doraemon - Tập 11 | C011 | T001 | 25 | 25
Doraemon - Tập 12 | C012 | T001 | 25 | 25
Doraemon - Tập 13 | C013 | T001 | 25 | 25
Doraemon - Tập 14 | C014 | T001 | 25 | 25
Doraemon - Tập 15 | C015 | T001 | 25 | 25
Doraemon - Tập 16 | C016 | T001 | 25 | 25
Doraemon - Tập 17 | C017 | T001 | 25 | 25
Doraemon - Tập 18 | C018 | T001 | 25 | 25
Doraemon - Tập 19 | C019 | T001 | 25 | 25
Doraemon - Tập 20 | C020 | T001 | 25 | 25
Thám tử lừng danh Conan - Tập 1 | C001 | T002 | 24 | 25
Thám tử lừng danh Conan - Tập 2 | C002 | T002 | 25 | 25
Thám tử lừng danh Conan - Tập 3 | C003 | T002 | 25 | 25
Thám tử lừng danh Conan - Tập 4 | C004 | T002 | 25 | 25
Thám tử lừng danh Conan - Tập 5 | C005 | T002 | 25 | 25
Thám tử lừng danh Conan - Tập 6 | C006 | T002 | 25 | 25
Thám tử lừng danh Conan - Tập 7 | C007 | T002 | 25 | 25
Thám tử lừng danh Conan - Tập 8 | C008 | T002 | 25 | 25
Thám tử lừng danh Conan - Tập 9 | C009 | T002 | 25 | 25
Thám tử lừng danh Conan - Tập 10 | C010 | T002 | 25 | 25
Thám tử lừng danh Conan - Tập 11 | C011 | T002 | 25 | 25
Thám tử lừng danh Conan - Tập 12 | C012 | T002 | 25 | 25
Thám tử lừng danh Conan - Tập 13 | C013 | T002 | 25 | 25
Thám tử lừng danh Conan - Tập 14 | C014 | T002 | 25 | 25
Thám tử lừng danh Conan - Tập 15 | C015 | T002 | 25 | 25
Thám tử lừng danh Conan - Tập 16 | C016 | T002 | 25 | 25
Thám tử lừng danh Conan - Tập 17 | C017 | T002 | 25 | 25
Thám tử lừng danh Conan - Tập 18 | C018 | T002 | 25 | 25
Thám tử lừng danh Conan - Tập 19 | C019 | T002 | 25 | 25
Thám tử lừng danh Conan - Tập 20 | C020 | T002 | 25 | 25
One Piece - Tập 1 | C001 | T003 | 25 | 25
One Piece - Tập 2 | C002 | T003 | 25 | 25
One Piece - Tập 3 | C003 | T003 | 25 | 25
One Piece - Tập 4 | C004 | T003 | 25 | 25
One Piece - Tập 5 | C005 | T003 | 25 | 25
