Số quyển truyện: 117
| T001 | Doraemon                                                       | Doraemon                                                       | Fujiko F. Fujio                | Truyện tranh                   | Kim Đồng                       | 2010 | 2000 |
| T002 | tham-tu-lung-danh-conan                                        | Thám tử lừng danh Conan                                        | Gosho Aoyama                   | Trinh thám                     | Kim Đồng                       | 2012 | 2500 |
| T003 | one-piece                                                      | One Piece                                                      | Eiichiro Oda                   | Phiêu lưu                      | Kim Đồng                       | 2015 | 3000 |
| T004 | naruto                                                         | Naruto                                                         | Masashi Kishimoto              | Phiêu lưu                      | Kim Đồng                       | 2014 | 3000 |
| T005 | bay-vien-ngoc-rong                                             | Bảy viên ngọc rồng                                             | Akira Toriyama                 | Hành động                      | Kim Đồng                       | 2011 | 2500 |
| T006 | attack-on-titan                                                | Attack on Titan                                                | Hajime Isayama                 | Hành động                      | Kim Đồng                       | 2018 | 3500 |
| T007 | bleach                                                         | Bleach                                                         | Tite Kubo                      | Hành động                      | Kim Đồng                       | 2016 | 3000 |
| T008 | death-note                                                     | Death Note                                                     | Tsugumi Ohba                   | Trinh thám                     | Kim Đồng                       | 2013 | 3000 |
| T009 | demon-slayer                                                   | Thanh gươm diệt quỷ                                            | Koyoharu Gotouge               | Hành động                      | Kim Đồng                       | 2020 | 3500 |
| T010 | jujutsu-kaisen                                                 | Jujutsu Kaisen                                                 | Gege Akutami                   | Hành động                      | Kim Đồng                       | 2021 | 3500 |
| T011 | chainsaw-man                                                   | Chainsaw Man                                                   | Tatsuki Fujimoto               | Hành động                      | Kim Đồng                       | 2022 | 3500 |
| T012 | hunter-x-hunter                                                | Hunter x Hunter                                                | Yoshihiro Togashi              | Phiêu lưu                      | Kim Đồng                       | 2014 | 3000 |
| T013 | fairy-tail                                                     | Fairy Tail                                                     | Hiro Mashima                   | Phiêu lưu                      | Kim Đồng                       | 2015 | 3000 |
| T014 | black-clover                                                   | Black Clover                                                   | Yuki Tabata                    | Hành động                      | Kim Đồng                       | 2019 | 3000 |
| T015 | blue-lock                                                      | Blue Lock                                                      | Muneyuki Kaneshiro             | Thể thao                       | Kim Đồng                       | 2022 | 3500 |
| T016 | haikyuu                                                        | Haikyuu!!                                                      | Haruichi Furudate              | Thể thao                       | Kim Đồng                       | 2018 | 3000 |
| T017 | classroom-of-the-elite                                         | Classroom of the Elite                                         | Syougo Kinugasa                | Tâm lý                         | Kim Đồng                       | 2021 | 3500 |
| T018 | harry-potter                                                   | Harry Potter                                                   | J.K. Rowling                   | Giả tưởng                      | NXB Trẻ                        | 2001 | 5000 |
| T019 | 20th-century-boys                                              | 20th Century Boys                                              | Naoki Urasawa                  | Khoa học                       | NXB Trẻ                        | 2019 | 4000 |
| T020 | monster                                                        | Monster                                                        | Naoki Urasawa                  | Trinh thám                     | NXB Trẻ                        | 2021 | 4500 |
