Phiếu mượn   | Mã thẻ       | Mã truyện           | Tên truyện                                         | Ngày mượn           | Số ngày mượn        | Trạng thái
PM000006     | 00000002     | T001C020            | Doraemon - Tập 1                                   | 23/06/2026          | 5                   | 1
PM000005     | 00000002     | T003C003            | One Piece - Tập 3                                  | 23/06/2026          | 5                   | 0
PM000004     | 00000008     | T009C001            | Thanh gươm diệt quỷ - Tập 1                        | 23/06/2026          | 10                  | 0
PM000003     | 00000005     | T043C000            | Tiếng Gọi Từ Vì Sao                                | 23/06/2026          | 20                  | 0
PM000002     | 00000001     | T002C003            | Thám tử lừng danh Conan - Tập 3                    | 23/06/2026          | 20                  | 1
PM000001     | 00000002     | T001C020            | Doraemon - Tập 1                                   | 23/06/2026          | 10                  | 0
PM000007     | 00000003     | T029                | Hi Chim Sẻ Hello                                   | 23/06/2026          | 30                  | 0
PM000008     | 00000007     | T032C005            | Thám tử Kindaichi - Tập 5                          | 23/06/2026          | 7                   | 0
PM000009     | 00000007     | T014C002            | Black Clover - Tập 2                               | 23/06/2026          | 10                  | 0
PM000010     | 00000001     | T039C000            | 5 Centimet Trên Giây                               | 23/06/2026          | 15                  | 0
PM000011     | 00000007     | T042                | Khu Vườn Ngôn Từ                                   | 23/06/2026          | 10                  | 1
PM000012     | 00000003     | T018C004            | Harry Potter - Tập 4                               | 23/06/2026          | 10                  | 1
PM000013     | 00000005     | T058C000            | Suối Nguồn                                         | 23/06/2026          | 12                  | 0
PM000014     | 00000002     | T046C003            | Ma Đạo Tổ Sư - Tập 3                               | 23/06/2026          | 8                   | 1
PM000015     | 00000002     | T001C004            | Doraemon - Tập 4                                   | 23/06/2026          | 5                   | 0
PM000016     | 00000008     | T041C000            | Suzume Khóa Chặt Cửa Nào                           | 23/06/2026          | 10                  | 1
PM000017     | 00000001     | T005C001            | Bảy viên ngọc rồng - Tập 1                         | 23/06/2026          | 5                   | 1
PM000018     | 00000012     | T033C003            | Sword Art Online - Tập 3                           | 23/06/2026          | 5                   | 1
PM000019     | 00000011     | T015C004            | Blue Lock - Tập 4                                  | 23/06/2026          | 10                  | 1
PM000020     | 00000010     | T021C005            | Pluto - Tập 5                                      | 23/06/2026          | 10                  | 0
PM000021     | 00000009     | T031C001            | Buddha - Tập 1                                     | 23/06/2026          | 6                   | 0
PM000022     | 00000010     | T037C004            | Slime Chuyển Sinh - Tập 4                          | 23/06/2026          | 12                  | 0
PM000023     | 00000004     | T024C001            | Yotsuba&! - Tập 1                                  | 23/06/2026          | 2                   | 0
PM000024     | 00000010     | T052C000            | Phía Nam Biên Giới Phía Tây Mặt Trời               | 23/06/2026          | 20                  | 0
PM000025     | 00000011     | T073C000            | Làm Bạn Với Bầu Trời                               | 23/06/2026          | 15                  | 0
PM000026     | 00000003     | T016C005            | Haikyuu!! - Tập 5                                  | 23/06/2026          | 12                  | 1
PM000027     | 00000008     | T048C000            | Rừng Na Uy                                         | 23/06/2026          | 21                  | 1
PM000028     | 00000010     | T019C010            | 20th Century Boys - Tập 10                         | 23/06/2026          | 14                  | 0
PM000029     | 00000010     | T006C004            | Attack on Titan - Tập 4                            | 23/06/2026          | 4                   | 0
PM000030     | 00000010     | T034C003            | Overlord - Tập 3                                   | 23/06/2026          | 3                   | 0
PM000031     | 00000010     | T003C009            | One Piece - Tập 9                                  | 23/06/2026          | 5                   | 0
PM000032     | 00000012     | T014C010            | Black Clover - Tập 10                              | 23/06/2026          | 8                   | 0
PM000033     | 00000009     | T051C002            | Biên Niên Ký Chim Vặn Dây Cót - Tập 2              | 23/06/2026          | 60                  | 1
PM000034     | 00000013     | T065C000            | Bồ Câu Không Đưa Thư                               | 23/06/2026          | 15                  | 1
PM000035     | 00000013     | T036C001            | Re:Zero - Tập 1                                    | 23/06/2026          | 12                  | 0
PM000036     | 00000009     | T025C001            | Azumanga Daioh - Tập 1                             | 23/06/2026          | 8                   | 1
PM000037     | 00000013     | T057C000            | Kẻ Trộm Sách                                       | 23/06/2026          | 14                  | 1
PM000038     | 00000013     | T056C000            | Hoàng Tử Bé                                        | 23/06/2026          | 10                  | 0
PM000039     | 00000013     | T063C000            | Cô Gái Đến Từ Hôm Qua                              | 23/06/2026          | 12                  | 0
PM000040     | 00000007     | T086C000            | Suy Nghĩ Nhanh Và Chậm                             | 23/06/2026          | 3                   | 0
PM000041     | 00000013     | T116C000            | Cây Cam Ngọt Của Tôi                               | 23/06/2026          | 17                  | 0
PM000042     | 00000012     | T094C000            | Số Đỏ                                              | 23/06/2026          | 15                  | 0
PM000043     | 00000010     | T023C003            | Billy Bat - Tập 3                                  | 23/06/2026          | 10                  | 0
PM000044     | 00000005     | T066                | Thằng Quỷ Nhỏ                                      | 23/06/2026          | 7                   | 0
PM000045     | 00000006     | T094C000            | Số Đỏ                                              | 23/06/2026          | 12                  | 0
PM000046     | 00000006     | T078C000            | Ngày Xưa Có Một Chuyện Tình                        | 23/06/2026          | 14                  | 1
PM000047     | 00000004     | T057C000            | Kẻ Trộm Sách                                       | 23/06/2026          | 18                  | 0
PM000048     | 00000003     | T098C000            | Tây Du Ký                                          | 23/06/2026          | 6                   | 0
PM000049     | 00000012     | T075C000            | Tôi Thấy Hoa Vàng Trên Cỏ Xanh                     | 23/06/2026          | 10                  | 1
PM000050     | 00000007     | T036C003            | Re:Zero - Tập 3                                    | 23/06/2026          | 4                   | 0
PM000051     | 00000008     | T106C000            | Bắt Trẻ Đồng Xanh                                  | 23/06/2026          | 20                  | 0
PM000052     | 00000013     | T023C005            | Billy Bat - Tập 5                                  | 23/06/2026          | 4                   | 0
PM000053     | 00000005     | T113                | Cuộc Đời Của Pi                                    | 23/06/2026          | 11                  | 1
