Số quyển truyện: 50
Số lượng truyện hiện tại: 6725
Số lượng truyện gốc: 6725
| T001 | doraemon                                                       | Doraemon                                                       | Fujiko F. Fujio                | Truyện tranh                   | Kim Đồng                       | 2010 | 150 | 150 | 0   | 2000 |
| T002 | tham-tu-lung-danh-conan                                        | Thám tử lừng danh Conan                                        | Gosho Aoyama                   | Trinh thám                     | Kim Đồng                       | 2012 | 140 | 140 | 0   | 2500 |
| T003 | one-piece                                                      | One Piece                                                      | Eiichiro Oda                   | Phiêu lưu                      | Kim Đồng                       | 2015 | 180 | 180 | 0   | 3000 |
| T004 | naruto                                                         | Naruto                                                         | Masashi Kishimoto              | Phiêu lưu                      | Kim Đồng                       | 2014 | 160 | 160 | 0   | 3000 |
| T005 | bay-vien-ngoc-rong                                             | Bảy viên ngọc rồng                                             | Akira Toriyama                 | Hành động                      | Kim Đồng                       | 2011 | 120 | 120 | 0   | 2500 |
| T006 | attack-on-titan                                                | Attack on Titan                                                | Hajime Isayama                 | Hành động                      | Kim Đồng                       | 2018 | 130 | 130 | 0   | 3500 |
| T007 | bleach                                                         | Bleach                                                         | Tite Kubo                      | Hành động                      | Kim Đồng                       | 2016 | 140 | 140 | 0   | 3000 |
| T008 | death-note                                                     | Death Note                                                     | Tsugumi Ohba                   | Trinh thám                     | Kim Đồng                       | 2013 | 125 | 125 | 0   | 3000 |
| T009 | demon-slayer                                                   | Thanh gươm diệt quỷ                                            | Koyoharu Gotouge               | Hành động                      | Kim Đồng                       | 2020 | 190 | 190 | 0   | 3500 |
| T010 | jujutsu-kaisen                                                 | Jujutsu Kaisen                                                 | Gege Akutami                   | Hành động                      | Kim Đồng                       | 2021 | 170 | 170 | 0   | 3500 |
| T011 | chainsaw-man                                                   | Chainsaw Man                                                   | Tatsuki Fujimoto               | Hành động                      | Kim Đồng                       | 2022 | 160 | 160 | 0   | 3500 |
| T012 | hunter-x-hunter                                                | Hunter x Hunter                                                | Yoshihiro Togashi              | Phiêu lưu                      | Kim Đồng                       | 2014 | 145 | 145 | 0   | 3000 |
| T013 | fairy-tail                                                     | Fairy Tail                                                     | Hiro Mashima                   | Phiêu lưu                      | Kim Đồng                       | 2015 | 150 | 150 | 0   | 3000 |
| T014 | black-clover                                                   | Black Clover                                                   | Yuki Tabata                    | Hành động                      | Kim Đồng                       | 2019 | 135 | 135 | 0   | 3000 |
| T015 | blue-lock                                                      | Blue Lock                                                      | Muneyuki Kaneshiro             | Thể thao                       | Kim Đồng                       | 2022 | 180 | 180 | 0   | 3500 |
| T016 | haikyuu                                                        | Haikyuu!!                                                      | Haruichi Furudate              | Thể thao                       | Kim Đồng                       | 2018 | 155 | 155 | 0   | 3000 |
| T017 | kuroko-no-basket                                               | Kuroko no Basket                                               | Tadatoshi Fujimaki             | Thể thao                       | Kim Đồng                       | 2016 | 140 | 140 | 0   | 3000 |
| T018 | slam-dunk                                                      | Slam Dunk                                                      | Takehiko Inoue                 | Thể thao                       | Kim Đồng                       | 2013 | 160 | 160 | 0   | 3000 |
| T019 | tokyo-revengers                                                | Tokyo Revengers                                                | Ken Wakui                      | Hành động                      | Kim Đồng                       | 2021 | 170 | 170 | 0   | 3500 |
| T020 | spy-x-family                                                   | Spy x Family                                                   | Tatsuya Endo                   | Hài hước                       | Kim Đồng                       | 2021 | 180 | 180 | 0   | 3500 |
| T021 | dr-stone                                                       | Dr. Stone                                                      | Riichiro Inagaki               | Khoa học                       | Kim Đồng                       | 2020 | 130 | 130 | 0   | 3000 |
