Count: 50
Capacity: 1000
Tổng 50 quyển truyện

MaTruyen | TenTruyen                                   | TheLoai             | NXB        | NamXB | TonKho | Nhap  | LuotMuon | GiaNgay
-----------------------------------------------------------------------------------------------------------------------------------------
T001     | Doraemon                                    | Truyện tranh        | Kim Đồng   | 2010  | 150    | 150   | 0        | 2000
T002     | Thám tử lừng danh Conan                     | Trinh thám          | Kim Đồng   | 2012  | 140    | 140   | 0        | 2500
T003     | One Piece – Đảo hải tặc                     | Phiêu lưu           | Kim Đồng   | 2015  | 180    | 180   | 0        | 3000
T004     | Naruto                                      | Phiêu lưu           | Kim Đồng   | 2014  | 160    | 160   | 0        | 3000
T005     | Bảy viên ngọc rồng                          | Hành động           | Kim Đồng   | 2011  | 120    | 120   | 0        | 2500
T006     | Harry Potter và Hòn đá Phù thủy             | Tiểu thuyết         | Trẻ        | 2013  | 100    | 100   | 0        | 4000
T007     | Sherlock Holmes toàn tập                    | Trinh thám          | Trẻ        | 2010  | 110    | 110   | 0        | 3500
T008     | Chúa tể những chiếc nhẫn                    | Giả tưởng           | Trẻ        | 2012  | 90     | 90    | 0        | 5000
T009     | Người Hobbit                                | Giả tưởng           | Trẻ        | 2011  | 95     | 95    | 0        | 4500
T010     | Đắc nhân tâm                                | Kỹ năng sống        | Tổng hợp   | 2015  | 200    | 200   | 0        | 2000
T011     | Nhà giả kim                                 | Tiểu thuyết         | Trẻ        | 2016  | 130    | 130   | 0        | 3000
T012     | Tuổi trẻ đáng giá bao nhiêu                 | Kỹ năng sống        | Trẻ        | 2018  | 170    | 170   | 0        | 2000
T013     | Cho tôi xin một vé đi tuổi thơ              | Tiểu thuyết         | Trẻ        | 2017  | 150    | 150   | 0        | 2500
T014     | Mắt biếc                                    | Tiểu thuyết         | Trẻ        | 2014  | 120    | 120   | 0        | 2500
T015     | Tôi thấy hoa vàng trên cỏ xanh              | Tiểu thuyết         | Trẻ        | 2015  | 130    | 130   | 0        | 2500
T016     | Điều kỳ diệu của tiệm tạp hóa Namiya        | Tiểu thuyết         | Trẻ        | 2019  | 100    | 100   | 0        | 3000
T017     | Rừng Na Uy                                  | Tiểu thuyết         | Trẻ        | 2013  | 90     | 90    | 0        | 3000
T018     | 1984                                        | Khoa học viễn tưởng | Tổng hợp   | 2012  | 95     | 95    | 0        | 3000
T019     | Trại súc vật                                | Khoa học viễn tưởng | Tổng hợp   | 2011  | 100    | 100   | 0        | 2500
T020     | Gatsby vĩ đại                               | Tiểu thuyết         | Tổng hợp   | 2010  | 80     | 80    | 0        | 3000
T021     | Kiêu hãnh và định kiến                      | Tiểu thuyết         | Tổng hợp   | 2011  | 85     | 85    | 0        | 3000
T022     | Chạng vạng                                  | Tiểu thuyết         | Trẻ        | 2014  | 120    | 120   | 0        | 3000
T023     | Đấu trường sinh tử                          | Phiêu lưu           | Trẻ        | 2015  | 110    | 110   | 0        | 3000
T024     | Nhật ký chú bé nhút nhát                    | Hài hước            | Kim Đồng   | 2018  | 200    | 200   | 0        | 2000
T025     | Kinh Thánh                                  | Tâm linh            | Tôn giáo   | 2009  | 50     | 50    | 0        | 1500
T026     | Sách giáo khoa Toán 12                      | Giáo dục            | GD         | 2020  | 300    | 300   | 0        | 1000
T027     | Sách giáo khoa Ngữ văn 12                   | Giáo dục            | GD         | 2020  | 280    | 280   | 0        | 1000
T028     | Sách giáo khoa Tiếng Anh 12                 | Giáo dục            | GD         | 2020  | 260    | 260   | 0        | 1000
T029     | Lập trình C cơ bản                          | Công nghệ           | GD         | 2019  | 160    | 160   | 0        | 3000
T030     | Thuật toán và lập trình                     | Công nghệ           | GD         | 2018  | 150    | 150   | 0        | 3000
T031     | Lập trình hướng đối tượng                   | Công nghệ           | GD         | 2017  | 140    | 140   | 0        | 3000
T032     | Cấu trúc dữ liệu và giải thuật              | Công nghệ           | GD         | 2016  | 130    | 130   | 0        | 3000
T033     | Cha giàu cha nghèo                          | Kinh tế             | Trẻ        | 2015  | 170    | 170   | 0        | 3000
T034     | Nghĩ giàu làm giàu                          | Kinh tế             | Trẻ        | 2014  | 160    | 160   | 0        | 3000
T035     | Khởi nghiệp tinh gọn                        | Kinh tế             | Trẻ        | 2016  | 120    | 120   | 0        | 4000
T036     | Bắt đầu với câu hỏi tại sao                 | Kỹ năng sống        | Trẻ        | 2017  | 110    | 110   | 0        | 3500
T037     | Thói quen nguyên tử                         | Kỹ năng sống        | Trẻ        | 2019  | 200    | 200   | 0        | 4000
T038     | Làm việc sâu                                | Kỹ năng sống        | Trẻ        | 2018  | 140    | 140   | 0        | 3500
T039     | Ikigai – Bí mật sống lâu và hạnh phúc       | Kỹ năng sống        | Trẻ        | 2019  | 150    | 150   | 0        | 3000
T040     | Chiến lược đại dương xanh                   | Kinh tế             | Trẻ        | 2015  | 120    | 120   | 0        | 4000
T041     | Dế Mèn phiêu lưu ký                         | Thiếu nhi           | Kim Đồng   | 2010  | 250    | 250   | 0        | 2000
T042     | Tắt đèn                                     | Văn học Việt Nam    | Tổng hợp   | 2011  | 140    | 140   | 0        | 2000
T043     | Lão Hạc                                     | Văn học Việt Nam    | Tổng hợp   | 2011  | 130    | 130   | 0        | 2000
T044     | Số đỏ                                       | Văn học Việt Nam    | Tổng hợp   | 2012  | 120    | 120   | 0        | 2000
T045     | Chí Phèo                                    | Văn học Việt Nam    | Tổng hợp   | 2012  | 110    | 110   | 0        | 2000
T046     | Vợ nhặt                                     | Văn học Việt Nam    | Tổng hợp   | 2013  | 100    | 100   | 0        | 2000
T047     | Hai đứa trẻ                                 | Văn học Việt Nam    | Tổng hợp   | 2013  | 90     | 90    | 0        | 2000
T048     | Chiếc lược ngà                              | Văn học Việt Nam    | Tổng hợp   | 2014  | 80     | 80    | 0        | 2000
T049     | Lặng lẽ Sa Pa                               | Văn học Việt Nam    | Tổng hợp   | 2014  | 70     | 70    | 0        | 2000
T050     | Bến quê                                     | Văn học Việt Nam    | Tổng hợp   | 2015  | 60     | 60    | 0        | 2000
